Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Walmart,1197831,01/02/2020,Northeast,New Jersey,Trenton,Women's Athletic Footwear,76,256,19456.0,7585.54,0.39,Online
Amazon,1167421,01/02/2020,West,Washington,Seattle,Men's Athletic Footwear,84,168,14112.0,4363.12,0.31,In-store
Kohl's,1189833,01/02/2020,Northeast,New Jersey,Newark,Men's Apparel,56,291,16296.0,6193.02,0.38,Online
Walmart,1197831,01/02/2020,Southeast,Tennessee,Knoxville,Men's Athletic Footwear,80,116,9280.0,3298.72,0.36,Online
West Gear,1105732,01/02/2020,West,Washington,Spokane,Women's Apparel,35,348,12180.0,5361.13,0.44,In-store
Walmart,1197831,01/02/2020,Southeast,Virginia,Norfolk,Women's Street Footwear,59,309,18231.0,6734.4,0.37,Online
Foot Locker,1185732,01/02/2020,West,Nevada,Henderson,Women's Apparel,59,343,20237.0,8138.19,0.4,Online
Kohl's,1189833,01/02/2020,Southeast,Tennessee,Nashville,Women's Street Footwear,62,122,7564.0,2361.48,0.31,In-store
Kohl's,1189833,01/02/2020,Southeast,Florida,Orlando,Women's Apparel,54,277,14958.0,6383.29,0.43,Online
West Gear,1105732,01/02/2020,Southeast,Tennessee,Memphis,Women's Street Footwear,37,215,7955.0,2552.48,0.32,Online
Amazon,1167421,01/02/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,47,299,14053.0,6381.98,0.45,In-store
Walmart,1197831,01/02/2021,Northeast,Connecticut,Hartford,Women's Street Footwear,69,246,16974.0,5079.39,0.3,Outlet
Foot Locker,1185732,01/02/2021,Midwest,Michigan,Grand Rapids,Women's Athletic Footwear,85,304,25840.0,9640.16,0.37,In-store
Amazon,1167421,01/02/2021,West,Colorado,Aurora,Women's Apparel,61,180,10980.0,3982.94,0.36,Outlet
Walmart,1197831,01/02/2021,South,Louisiana,Shreveport,Women's Apparel,44,351,15444.0,5419.47,0.35,Online
Walmart,1197831,01/02/2021,Midwest,Illinois,Chicago,Men's Street Footwear,42,47,1974.0,597.83,0.3,Outlet
Walmart,1197831,01/02/2021,Southeast,Virginia,Richmond,Women's Apparel,42,225,9450.0,2850.92,0.3,In-store
Sports Direct,1128299,01/02/2021,West,Colorado,Aurora,Men's Apparel,45,284,12780.0,6341.85,0.5,In-store
Amazon,1167421,01/02/2021,Southeast,Tennessee,Knoxville,Women's Street Footwear,52,220,11440.0,3075.1,0.27,Outlet
West Gear,1105732,01/02/2021,Northeast,New Jersey,Trenton,Women's Apparel,35,103,3605.0,1478.19,0.41,Online
Sports Direct,1128299,01/02/2021,West,Nevada,Reno,Men's Street Footwear,60,303,18180.0,6380.66,0.35,In-store
Kohl's,1189833,01/02/2021,Northeast,New Jersey,Jersey City,Men's Athletic Footwear,80,153,12240.0,3068.53,0.25,Outlet
Sports Direct,1128299,01/02/2021,Southeast,Tennessee,Nashville,Women's Athletic Footwear,77,184,14168.0,5947.62,0.42,In-store
Kohl's,1189833,01/02/2021,Midwest,Ohio,Cleveland,Women's Street Footwear,53,299,15847.0,5731.27,0.36,In-store
Walmart,1197831,01/02/2021,West,Nevada,Las Vegas,Men's Athletic Footwear,61,58,3538.0,1127.75,0.32,Online
Amazon,1167421,01/02/2021,Midwest,Michigan,Detroit,Women's Apparel,37,144,5328.0,1785.1,0.34,In-store
Sports Direct,1128299,01/02/2021,Southeast,Georgia,Augusta,Women's Apparel,31,300,9300.0,3566.54,0.38,In-store
Kohl's,1189833,01/02/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,71,51,3621.0,1013.51,0.28,Online
West Gear,1105732,01/02/2021,Midwest,Minnesota,Minneapolis,Men's Street Footwear,51,133,6783.0,2492.92,0.37,Outlet
Kohl's,1189833,01/03/2020,Southeast,Georgia,Atlanta,Women's Apparel,35,234,8190.0,2986.63,0.36,In-store
Walmart,1197831,01/03/2020,Northeast,Connecticut,Stamford,Women's Apparel,35,318,11130.0,3936.3,0.35,Outlet
Foot Locker,1185732,01/03/2020,West,Nevada,Las Vegas,Women's Athletic Footwear,79,113,8927.0,3801.43,0.43,In-store
West Gear,1105732,01/03/2020,West,Colorado,Colorado Springs,Men's Street Footwear,46,263,12098.0,5238.69,0.43,In-store
West Gear,1105732,01/03/2020,West,Nevada,Reno,Men's Street Footwear,73,216,15768.0,4335.9,0.27,Outlet
Foot Locker,1185732,01/03/2020,West,Nevada,Henderson,Women's Street Footwear,64,73,4672.0,1598.72,0.34,Outlet
Amazon,1167421,01/03/2020,Northeast,Connecticut,Hartford,Men's Apparel,52,320,16640.0,5948.16,0.36,Online
Amazon,1167421,01/03/2020,Southeast,Tennessee,Knoxville,Women's Street Footwear,53,308,16324.0,6724.17,0.41,In-store
Foot Locker,1185732,01/03/2020,Northeast,Connecticut,New Haven,Men's Athletic Footwear,65,306,19890.0,9137.22,0.46,In-store
West Gear,1105732,01/03/2020,Midwest,Ohio,Cincinnati,Men's Athletic Footwear,75,235,17625.0,6829.26,0.39,In-store
Amazon,1167421,01/03/2020,South,Oklahoma,Tulsa,Women's Athletic Footwear,72,240,17280.0,6556.09,0.38,Online
Kohl's,1189833,01/03/2020,West,Colorado,Denver,Men's Street Footwear,52,252,13104.0,4872.05,0.37,Outlet
Walmart,1197831,01/03/2020,Southeast,Florida,Orlando,Men's Apparel,47,392,18424.0,5841.45,0.32,Online
Walmart,1197831,01/03/2020,Southeast,Virginia,Norfolk,Men's Apparel,48,380,18240.0,5730.15,0.31,Outlet
Sports Direct,1128299,01/03/2020,Midwest,Indiana,Fort Wayne,Women's Street Footwear,69,72,4968.0,1841.07,0.37,Online
Amazon,1167421,01/03/2020,South,Oklahoma,Norman,Women's Street Footwear,47,363,17061.0,4698.54,0.28,Outlet
West Gear,1105732,01/03/2020,Northeast,New Jersey,Jersey City,Men's Apparel,49,226,11074.0,3759.07,0.34,Outlet
Walmart,1197831,01/03/2020,South,Arkansas,Little Rock,Men's Athletic Footwear,59,252,14868.0,4029.8,0.27,Outlet
Foot Locker,1185732,01/03/2020,Northeast,New York,Buffalo,Men's Street Footwear,62,365,22630.0,7624.09,0.34,Outlet
West Gear,1105732,01/03/2020,West,Nevada,Reno,Men's Apparel,60,347,20820.0,8547.83,0.41,Online
West Gear,1105732,01/03/2020,West,Nevada,Reno,Men's Street Footwear,73,325,23725.0,7646.96,0.32,Online
Walmart,1197831,01/03/2021,Northeast,New York,Albany,Men's Athletic Footwear,57,147,8379.0,2104.32,0.25,Outlet
West Gear,1105732,01/03/2021,West,Colorado,Denver,Women's Street Footwear,50,289,14450.0,4190.71,0.29,Outlet
West Gear,1105732,01/03/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,49,152,7448.0,2434.16,0.33,Outlet
Amazon,1167421,01/03/2021,Southeast,Georgia,Savannah,Women's Athletic Footwear,52,198,10296.0,4414.4,0.43,Online
Kohl's,1189833,01/03/2021,West,Nevada,Las Vegas,Women's Street Footwear,53,51,2703.0,1311.84,0.49,In-store
Sports Direct,1128299,01/03/2021,Midwest,Illinois,Springfield,Men's Apparel,34,241,8194.0,2269.45,0.28,Online
Foot Locker,1185732,01/03/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,77,327,25179.0,10410.59,0.41,Online
Amazon,1167421,01/03/2021,West,Oregon,Portland,Women's Street Footwear,56,142,7952.0,2050.79,0.26,Outlet
Walmart,1197831,01/04/2020,West,Colorado,Aurora,Men's Street Footwear,61,395,24095.0,6431.44,0.27,Outlet
Amazon,1167421,01/04/2020,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,76,209,15884.0,5569.37,0.35,Outlet
Sports Direct,1128299,01/04/2020,Northeast,Connecticut,New Haven,Men's Athletic Footwear,88,67,5896.0,1884.22,0.32,Online
Walmart,1197831,01/04/2020,West,Colorado,Aurora,Women's Apparel,60,264,15840.0,5132.62,0.32,In-store
Foot Locker,1185732,01/04/2020,South,Texas,San Antonio,Men's Street Footwear,71,95,6745.0,2659.24,0.39,Online
West Gear,1105732,01/04/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,62,393,24366.0,7542.52,0.31,Outlet
Walmart,1197831,01/04/2020,West,Nevada,Henderson,Women's Street Footwear,57,40,2280.0,743.44,0.33,Outlet
Sports Direct,1128299,01/04/2020,South,Arkansas,Little Rock,Men's Athletic Footwear,69,137,9453.0,3171.58,0.34,Outlet
West Gear,1105732,01/04/2020,Southeast,Florida,Miami,Women's Athletic Footwear,45,186,8370.0,2791.89,0.33,Outlet
Kohl's,1189833,01/04/2020,Northeast,New York,Albany,Men's Athletic Footwear,55,239,13145.0,4382.2,0.33,Outlet
Sports Direct,1128299,01/04/2020,West,Washington,Tacoma,Men's Apparel,37,274,10138.0,2898.12,0.29,Online
Foot Locker,1185732,01/04/2020,West,Oregon,Salem,Men's Athletic Footwear,89,256,22784.0,7851.83,0.34,Online
Walmart,1197831,01/04/2020,Southeast,Virginia,Virginia Beach,Women's Apparel,44,292,12848.0,3142.49,0.24,Outlet
Walmart,1197831,01/04/2020,Southeast,Florida,Jacksonville,Men's Apparel,55,354,19470.0,8288.16,0.43,In-store
Amazon,1167421,01/04/2021,Southeast,North Carolina,Charlotte,Men's Apparel,29,58,1682.0,690.75,0.41,In-store
Kohl's,1189833,01/04/2021,Northeast,New Jersey,Trenton,Men's Apparel,44,199,8756.0,2432.73,0.28,Online
Amazon,1167421,01/04/2021,Midwest,Illinois,Springfield,Women's Athletic Footwear,52,201,10452.0,2830.68,0.27,Outlet
Sports Direct,1128299,01/04/2021,Northeast,Connecticut,Hartford,Women's Athletic Footwear,70,236,16520.0,5276.44,0.32,In-store
Sports Direct,1128299,01/04/2021,West,Nevada,Las Vegas,Women's Apparel,51,269,13719.0,4340.72,0.32,In-store
Foot Locker,1185732,01/04/2021,Southeast,Virginia,Norfolk,Men's Athletic Footwear,55,233,12815.0,4927.32,0.38,In-store
Kohl's,1189833,01/04/2021,South,Arkansas,Fayetteville,Men's Athletic Footwear,57,212,12084.0,3898.98,0.32,Online
West Gear,1105732,01/04/2021,South,Mississippi,Jackson,Women's Street Footwear,62,105,6510.0,2397.73,0.37,Online
Kohl's,1189833,01/04/2021,Midwest,Indiana,Evansville,Women's Athletic Footwear,76,233,17708.0,8803.32,0.5,In-store
Kohl's,1189833,01/04/2021,West,California,San Diego,Men's Apparel,46,392,18032.0,6154.98,0.34,Online
Kohl's,1189833,01/04/2021,Northeast,New York,Rochester,Women's Street Footwear,63,216,13608.0,4222.67,0.31,Online
West Gear,1105732,01/04/2021,Northeast,New York,Buffalo,Men's Apparel,33,89,2937.0,999.87,0.34,Online
Foot Locker,1185732,01/04/2021,Southeast,Virginia,Virginia Beach,Women's Street Footwear,53,207,10971.0,3645.72,0.33,Online
Walmart,1197831,01/04/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,72,207,14904.0,4689.41,0.31,Outlet
West Gear,1105732,01/04/2021,Southeast,Georgia,Augusta,Men's Apparel,57,310,17670.0,4608.48,0.26,Outlet
Kohl's,1189833,01/04/2021,Northeast,Connecticut,Hartford,Women's Athletic Footwear,54,244,13176.0,5587.64,0.42,In-store
Walmart,1197831,01/04/2021,Southeast,Tennessee,Memphis,Men's Street Footwear,67,328,21976.0,6014.34,0.27,Outlet
Walmart,1197831,01/04/2021,South,Mississippi,Hattiesburg,Men's Street Footwear,49,63,3087.0,1122.77,0.36,Outlet
Foot Locker,1185732,01/04/2021,South,Texas,San Antonio,Men's Street Footwear,62,156,9672.0,3805.86,0.39,In-store
Walmart,1197831,01/05/2020,Midwest,Ohio,Cleveland,Men's Apparel,28,370,10360.0,3275.38,0.32,Online
Walmart,1197831,01/05/2020,West,California,San Francisco,Men's Athletic Footwear,52,372,19344.0,5869.01,0.3,Outlet
Kohl's,1189833,01/05/2020,Northeast,Massachusetts,Springfield,Women's Street Footwear,64,266,17024.0,3879.17,0.23,Outlet
Walmart,1197831,01/05/2020,Northeast,New York,Albany,Men's Street Footwear,69,384,26496.0,12672.2,0.48,In-store
Kohl's,1189833,01/05/2020,Southeast,Virginia,Virginia Beach,Men's Street Footwear,64,293,18752.0,7952.56,0.42,Online
Amazon,1167421,01/05/2020,South,Mississippi,Gulfport,Men's Athletic Footwear,60,256,15360.0,5670.55,0.37,Online
Kohl's,1189833,01/05/2020,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,47,306,14382.0,6223.76,0.43,Online
Kohl's,1189833,01/05/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,71,389,27619.0,12046.5,0.44,Online
Amazon,1167421,01/05/2020,Northeast,New Jersey,Jersey City,Women's Street Footwear,67,199,13333.0,3884.37,0.29,Outlet
West Gear,1105732,01/05/2020,Northeast,Pennsylvania,Pittsburgh,Women's Apparel,56,56,3136.0,909.75,0.29,Outlet
Walmart,1197831,01/05/2020,Southeast,Georgia,Atlanta,Women's Athletic Footwear,51,184,9384.0,2540.42,0.27,Outlet
Foot Locker,1185732,01/05/2020,West,Washington,Seattle,Men's Street Footwear,62,43,2666.0,1119.47,0.42,Online
Foot Locker,1185732,01/05/2021,Northeast,Connecticut,Hartford,Women's Athletic Footwear,77,68,5236.0,1925.07,0.37,In-store
West Gear,1105732,01/05/2021,South,Texas,Dallas,Women's Street Footwear,59,108,6372.0,2034.0,0.32,In-store
Kohl's,1189833,01/05/2021,Midwest,Michigan,Ann Arbor,Men's Street Footwear,44,272,11968.0,3269.04,0.27,Outlet
West Gear,1105732,01/05/2021,West,Nevada,Las Vegas,Women's Street Footwear,43,378,16254.0,7885.52,0.49,In-store
Kohl's,1189833,01/05/2021,Northeast,Massachusetts,Worcester,Women's Athletic Footwear,67,68,4556.0,2262.34,0.5,In-store
Amazon,1167421,01/05/2021,Southeast,Tennessee,Nashville,Men's Apparel,51,382,19482.0,8163.78,0.42,Online
Amazon,1167421,01/05/2021,West,Washington,Seattle,Men's Apparel,49,276,13524.0,5756.57,0.43,In-store
Kohl's,1189833,01/05/2021,Southeast,North Carolina,Raleigh,Men's Athletic Footwear,73,64,4672.0,1070.06,0.23,Outlet
Sports Direct,1128299,01/05/2021,South,Oklahoma,Norman,Women's Apparel,33,140,4620.0,1724.58,0.37,Online
West Gear,1105732,01/05/2021,Midwest,Minnesota,Minneapolis,Men's Apparel,34,159,5406.0,1829.12,0.34,Online
Kohl's,1189833,01/05/2021,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,85,180,15300.0,4486.57,0.29,Online
Amazon,1167421,01/05/2021,South,Arkansas,Fayetteville,Men's Apparel,30,176,5280.0,1700.55,0.32,Outlet
Kohl's,1189833,01/05/2021,South,Arkansas,Fort Smith,Women's Apparel,39,315,12285.0,4107.74,0.33,Online
Foot Locker,1185732,01/05/2021,South,Arkansas,Little Rock,Women's Apparel,65,341,22165.0,6926.61,0.31,In-store
Sports Direct,1128299,01/05/2021,Midwest,Michigan,Ann Arbor,Women's Apparel,57,299,17043.0,4854.81,0.28,Outlet
Kohl's,1189833,01/05/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,82,68,5576.0,1848.21,0.33,Online
Sports Direct,1128299,01/05/2021,Northeast,New Jersey,Trenton,Men's Athletic Footwear,59,47,2773.0,736.79,0.27,Outlet
Walmart,1197831,01/05/2021,Southeast,Tennessee,Nashville,Women's Street Footwear,40,148,5920.0,2814.6,0.48,In-store
Kohl's,1189833,01/05/2021,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,76,124,9424.0,2855.43,0.3,In-store
Walmart,1197831,01/06/2020,Northeast,Connecticut,Hartford,Women's Athletic Footwear,66,60,3960.0,1039.02,0.26,Outlet
West Gear,1105732,01/06/2020,West,California,Los Angeles,Women's Athletic Footwear,76,53,4028.0,1472.64,0.37,Online
Amazon,1167421,01/06/2020,West,Oregon,Portland,Men's Apparel,45,296,13320.0,4062.51,0.3,Outlet
Foot Locker,1185732,01/06/2020,West,Oregon,Salem,Men's Street Footwear,49,183,8967.0,3688.55,0.41,Online
Walmart,1197831,01/06/2020,South,Arkansas,Little Rock,Men's Apparel,55,172,9460.0,3318.29,0.35,Outlet
Foot Locker,1185732,01/06/2020,South,Oklahoma,Norman,Men's Athletic Footwear,63,160,10080.0,3521.21,0.35,Outlet
Kohl's,1189833,01/06/2020,Southeast,Tennessee,Knoxville,Men's Street Footwear,52,307,15964.0,4941.05,0.31,In-store
Kohl's,1189833,01/06/2020,West,Colorado,Aurora,Men's Street Footwear,55,44,2420.0,933.72,0.39,In-store
Walmart,1197831,01/06/2020,Midwest,Illinois,Peoria,Men's Athletic Footwear,59,306,18054.0,8574.16,0.47,In-store
Sports Direct,1128299,01/06/2020,Northeast,Pennsylvania,Allentown,Women's Athletic Footwear,81,191,15471.0,5599.83,0.36,Online
Amazon,1167421,01/06/2020,Northeast,Connecticut,Hartford,Men's Apparel,33,76,2508.0,748.64,0.3,Online
Foot Locker,1185732,01/06/2020,Southeast,Tennessee,Knoxville,Men's Street Footwear,47,371,17437.0,5144.07,0.3,Outlet
West Gear,1105732,01/06/2020,Northeast,New York,Albany,Men's Athletic Footwear,58,248,14384.0,5150.03,0.36,Online
West Gear,1105732,01/06/2020,South,Mississippi,Gulfport,Men's Athletic Footwear,87,148,12876.0,3792.4,0.29,Online
Walmart,1197831,01/06/2020,Northeast,New Jersey,Newark,Women's Apparel,53,387,20511.0,8793.65,0.43,In-store
Walmart,1197831,01/06/2020,South,Arkansas,Fayetteville,Women's Athletic Footwear,55,44,2420.0,917.66,0.38,In-store
Walmart,1197831,01/06/2021,Midwest,Ohio,Columbus,Men's Apparel,58,74,4292.0,1278.58,0.3,Outlet
Amazon,1167421,01/06/2021,Northeast,Massachusetts,Springfield,Men's Athletic Footwear,52,152,7904.0,3901.74,0.49,In-store
Kohl's,1189833,01/06/2021,South,Louisiana,Shreveport,Women's Apparel,43,80,3440.0,859.47,0.25,Outlet
Walmart,1197831,01/06/2021,West,Nevada,Henderson,Women's Street Footwear,66,240,15840.0,4910.68,0.31,Outlet
West Gear,1105732,01/06/2021,West,California,Sacramento,Men's Street Footwear,64,136,8704.0,2649.98,0.3,In-store
Kohl's,1189833,01/06/2021,West,Nevada,Reno,Men's Street Footwear,50,56,2800.0,859.14,0.31,Online
Walmart,1197831,01/06/2021,Northeast,Massachusetts,Boston,Women's Apparel,53,52,2756.0,783.73,0.28,Outlet
Kohl's,1189833,01/06/2021,Southeast,North Carolina,Durham,Men's Street Footwear,54,45,2430.0,615.64,0.25,Outlet
West Gear,1105732,01/06/2021,Northeast,New Jersey,Trenton,Men's Apparel,30,383,11490.0,4499.66,0.39,In-store
Foot Locker,1185732,01/06/2021,Northeast,Connecticut,Stamford,Men's Athletic Footwear,54,75,4050.0,1395.68,0.34,Online
Walmart,1197831,01/06/2021,West,Oregon,Portland,Women's Apparel,55,233,12815.0,4580.37,0.36,Online
Walmart,1197831,01/06/2021,West,Washington,Seattle,Women's Apparel,49,316,15484.0,4985.45,0.32,In-store
Amazon,1167421,01/06/2021,Southeast,Florida,Tampa,Men's Apparel,50,195,9750.0,3094.0,0.32,Online
Foot Locker,1185732,01/06/2021,West,Oregon,Salem,Men's Apparel,34,144,4896.0,1798.04,0.37,In-store
Kohl's,1189833,01/07/2020,South,Texas,Austin,Men's Street Footwear,67,68,4556.0,1068.58,0.23,Outlet
Walmart,1197831,01/07/2020,Midwest,Michigan,Detroit,Men's Apparel,43,390,16770.0,5741.96,0.34,Online
Amazon,1167421,01/07/2020,Southeast,North Carolina,Durham,Women's Athletic Footwear,52,190,9880.0,3039.55,0.31,Online
Walmart,1197831,01/07/2020,West,Oregon,Eugene,Women's Street Footwear,37,99,3663.0,1655.37,0.45,In-store
Walmart,1197831,01/07/2020,South,Oklahoma,Tulsa,Men's Street Footwear,56,400,22400.0,6116.34,0.27,Outlet
Walmart,1197831,01/07/2020,Southeast,Tennessee,Knoxville,Women's Street Footwear,64,366,23424.0,7981.18,0.34,Outlet
Kohl's,1189833,01/07/2020,Southeast,North Carolina,Raleigh,Men's Athletic Footwear,60,186,11160.0,3635.14,0.33,Online
Kohl's,1189833,01/07/2020,Northeast,New York,Rochester,Men's Apparel,49,182,8918.0,3258.22,0.37,Online
Walmart,1197831,01/07/2020,Midwest,Ohio,Cleveland,Men's Athletic Footwear,66,197,13002.0,6226.11,0.48,In-store
Amazon,1167421,01/07/2020,South,Louisiana,New Orleans,Men's Athletic Footwear,69,213,14697.0,4736.7,0.32,Outlet
Kohl's,1189833,01/07/2020,Northeast,Massachusetts,Springfield,Women's Apparel,43,117,5031.0,1980.96,0.39,Online
Amazon,1167421,01/07/2021,South,Louisiana,Baton Rouge,Men's Street Footwear,63,260,16380.0,4982.41,0.3,Online
Sports Direct,1128299,01/07/2021,Midwest,Ohio,Cleveland,Men's Athletic Footwear,75,350,26250.0,7292.18,0.28,Online
Amazon,1167421,01/07/2021,Northeast,Connecticut,New Haven,Men's Athletic Footwear,66,50,3300.0,1085.69,0.33,Online
Kohl's,1189833,01/07/2021,West,Colorado,Colorado Springs,Men's Street Footwear,60,360,21600.0,8818.0,0.41,Online
Foot Locker,1185732,01/07/2021,Southeast,Tennessee,Memphis,Women's Apparel,36,340,12240.0,3220.64,0.26,Outlet
West Gear,1105732,01/07/2021,South,Oklahoma,Tulsa,Men's Athletic Footwear,71,341,24211.0,10649.73,0.44,Online
West Gear,1105732,01/07/2021,West,Washington,Seattle,Men's Apparel,58,311,18038.0,6145.68,0.34,In-store
Walmart,1197831,01/07/2021,Southeast,Georgia,Atlanta,Women's Apparel,58,201,11658.0,3951.82,0.34,Outlet
Foot Locker,1185732,01/07/2021,Northeast,Pennsylvania,Pittsburgh,Women's Street Footwear,46,66,3036.0,896.71,0.3,Outlet
Amazon,1167421,01/07/2021,Midwest,Illinois,Peoria,Men's Athletic Footwear,58,396,22968.0,10062.8,0.44,Online
Sports Direct,1128299,01/07/2021,Midwest,Minnesota,Saint Paul,Men's Apparel,39,246,9594.0,2177.82,0.23,Outlet
Sports Direct,1128299,01/07/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,63,104,6552.0,1796.26,0.27,Outlet
Foot Locker,1185732,01/07/2021,Northeast,Connecticut,New Haven,Men's Street Footwear,47,258,12126.0,3411.52,0.28,Online
West Gear,1105732,01/07/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,47,150,7050.0,2913.19,0.41,Online
West Gear,1105732,01/07/2021,South,Mississippi,Jackson,Women's Street Footwear,35,279,9765.0,2513.93,0.26,Outlet
Kohl's,1189833,01/07/2021,Northeast,Connecticut,New Haven,Women's Street Footwear,62,323,20026.0,7907.92,0.39,Online
Foot Locker,1185732,01/07/2021,Northeast,Pennsylvania,Allentown,Men's Apparel,59,342,20178.0,8713.91,0.43,Online
Amazon,1167421,01/07/2021,South,Louisiana,Shreveport,Men's Apparel,44,139,6116.0,2091.72,0.34,In-store
Sports Direct,1128299,01/07/2021,Southeast,Florida,Jacksonville,Women's Apparel,53,323,17119.0,5515.34,0.32,In-store
Kohl's,1189833,01/08/2020,South,Mississippi,Jackson,Men's Street Footwear,53,124,6572.0,2271.57,0.35,Outlet
Foot Locker,1185732,01/08/2020,Midwest,Indiana,Indianapolis,Men's Apparel,40,333,13320.0,4778.43,0.36,In-store
Foot Locker,1185732,01/08/2020,South,Mississippi,Hattiesburg,Men's Athletic Footwear,87,372,32364.0,8315.24,0.26,Outlet
Sports Direct,1128299,01/08/2020,Southeast,North Carolina,Charlotte,Women's Apparel,48,397,19056.0,7731.44,0.41,Online
Amazon,1167421,01/08/2020,South,Louisiana,New Orleans,Women's Street Footwear,49,309,15141.0,6352.26,0.42,Online
Amazon,1167421,01/08/2020,Northeast,Connecticut,Hartford,Women's Street Footwear,39,364,14196.0,3822.49,0.27,Outlet
Amazon,1167421,01/08/2020,Midwest,Michigan,Detroit,Women's Apparel,30,302,9060.0,3108.19,0.34,Outlet
Kohl's,1189833,01/08/2020,South,Texas,Houston,Men's Street Footwear,57,163,9291.0,2728.09,0.29,Outlet
Kohl's,1189833,01/08/2020,Northeast,Massachusetts,Boston,Men's Athletic Footwear,54,75,4050.0,1725.0,0.43,In-store
West Gear,1105732,01/08/2020,West,Colorado,Denver,Women's Apparel,61,188,11468.0,3536.61,0.31,Online
West Gear,1105732,01/08/2020,Northeast,Connecticut,Stamford,Women's Apparel,62,344,21328.0,9228.23,0.43,In-store
Walmart,1197831,01/08/2020,South,Louisiana,Shreveport,Men's Street Footwear,58,323,18734.0,6582.6,0.35,Outlet
Walmart,1197831,01/08/2021,Southeast,North Carolina,Raleigh,Women's Athletic Footwear,56,319,17864.0,4210.73,0.24,Outlet
Amazon,1167421,01/08/2021,Northeast,Massachusetts,Boston,Women's Apparel,53,184,9752.0,3487.51,0.36,Outlet
Sports Direct,1128299,01/08/2021,Northeast,Pennsylvania,Philadelphia,Women's Apparel,38,337,12806.0,4686.7,0.37,Outlet
Sports Direct,1128299,01/08/2021,Southeast,Florida,Tampa,Women's Apparel,54,353,19062.0,7744.05,0.41,Online
